		(Col("Capacitance")/1.818)	Col("Capacitance_new")/2.5
Angle	Capacitance	Capacitance_new	
deg	pF	pF	
		Dielectric const=1.818	
-16	79.56	43.7623762376238	17.5049504950495
-15.75	76.2	41.9141914191419	16.7656765676568
-15.5	74.7	41.0891089108911	16.4356435643564
-15.25	71.78	39.4829482948295	15.7931793179318
-15	69.37	38.1573157315732	15.2629262926293
-14.75	66.71	36.6941694169417	14.6776677667767
-14.5	63.67	35.02200220022	14.008800880088
-14.25	61.15	33.6358635863586	13.4543454345435
-14	56.96	31.3311331133113	12.5324532453245
-13.75	54.35	29.8954895489549	11.958195819582
-13.5	52.16	28.6908690869087	11.4763476347635
-13.25	48.77	26.8261826182618	10.7304730473047
-13	45.94	25.2695269526953	10.1078107810781
-12.75	43.11	23.7128712871287	9.48514851485148
-12.5	39.922	21.959295929593	8.78371837183718
-12.25	36.692	20.1826182618262	8.07304730473047
-12	34.103	18.7585258525853	7.5034103410341
-11.75	32.888	18.0902090209021	7.23608360836083
-11.5	31.598	17.3806380638064	6.95225522552255
-11.25	30.843	16.9653465346535	6.78613861386139
-11	30.306	16.6699669966997	6.66798679867987
-10.75	30.306	16.6699669966997	6.66798679867987
-10.5	29.998	16.5005500550055	6.6002200220022
-10.25	29.87	16.4301430143014	6.57205720572057
-10	29.68	16.3256325632563	6.53025302530253
-9.75	29.629	16.2975797579758	6.51903190319032
-9.5	29.54	16.2486248624862	6.4994499449945
-9.25	29.509	16.2315731573157	6.49262926292629
-9	29.45	16.1991199119912	6.47964796479648
-8.75	29.44	16.1936193619362	6.47744774477448
-8.5	29.424	16.1848184818482	6.47392739273927
-8.25	29.46	16.2046204620462	6.48184818481848
-8	29.545	16.2513751375138	6.5005500550055
-7.75	29.615	16.2898789878988	6.51595159515952
-7.5	29.735	16.3558855885589	6.54235423542354
-7.25	30.026	16.5159515951595	6.60638063806381
-7	30.158	16.5885588558856	6.63542354235423
-6.75	30.474	16.7623762376238	6.7049504950495
-6.5	30.835	16.9609460946095	6.78437843784378
-6.25	31.29	17.2112211221122	6.88448844884488
-6	32.103	17.6584158415842	7.06336633663366
-5.75	33.126	18.2211221122112	7.28844884488449
-5.5	35.055	19.2821782178218	7.71287128712871
-5.25	38.615	21.2403740374037	8.4961496149615
-5	41.21	22.6677667766777	9.06710671067107
-4.75	43.32	23.8283828382838	9.53135313531353
-4.5	47.01	25.8580858085809	10.3432343234323
-4.25	50.74	27.9097909790979	11.1639163916392
-4	53.89	29.6424642464246	11.8569856985699
-3.75	56.74	31.2101210121012	12.4840484048405
-3.5	59.66	32.8162816281628	13.1265126512651
-3.25	63.26	34.7964796479648	13.9185918591859
-3	66.56	36.6116611661166	14.6446644664466
-2.75	68.95	37.9262926292629	15.1705170517052
-2.5	72.08	39.6479647964796	15.8591859185919
-2.25	75.65	41.6116611661166	16.6446644664466
-2	78.01	42.9097909790979	17.1639163916392
-1.75	80.51	44.2849284928493	17.7139713971397
-1.5	83.96	46.1826182618262	18.4730473047305
-1.25	87.82	48.3058305830583	19.3223322332233
-1	89.66	49.3179317931793	19.7271727172717
-0.75	92.38	50.8140814081408	20.3256325632563
-0.5	95.69	52.6347634763476	21.0539053905391
-0.25	98.61	54.2409240924092	21.6963696369637
0	101.94	56.0726072607261	22.4290429042904
0.25	104.92	57.7117711771177	23.0847084708471
0.5	108.43	59.6424642464246	23.8569856985699
0.75	110.97	61.039603960396	24.4158415841584
1	113.75	62.5687568756876	25.027502750275
1.25	116.92	64.3124312431243	25.7249724972497
1.5	120.03	66.023102310231	26.4092409240924
1.75	123.81	68.1023102310231	27.2409240924092
2	125.29	68.9163916391639	27.5665566556656
2.25	128.98	70.9460946094609	28.3784378437844
2.5	130.97	72.040704070407	28.8162816281628
2.75	134.32	73.8833883388339	29.5533553355336
3	137.58	75.6765676567657	30.2706270627063
3.25	140.3	77.1727172717272	30.8690869086909
3.5	142.75	78.5203520352035	31.4081408140814
3.75	145.16	79.8459845984598	31.9383938393839
4	148.41	81.6336633663366	32.6534653465347
4.25	150.85	82.975797579758	33.1903190319032
4.5	153.69	84.5379537953795	33.8151815181518
4.75	156.82	86.2596259625962	34.5038503850385
5	159.14	87.5357535753575	35.014301430143
5.25	161.95	89.0814081408141	35.6325632563256
5.5	163.84	90.1210121012101	36.0484048404841
5.75	167.34	92.046204620462	36.8184818481848
6	168.66	92.7722772277228	37.1089108910891
6.25	170.43	93.7458745874587	37.4983498349835
6.5	170.62	93.8503850385038	37.5401540154015
6.75	169.21	93.0748074807481	37.2299229922992
